"Notes"	"County"	"County Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Baldwin County, AL"	"01003"	"Vaginal"	"1"	4920
	"Baldwin County, AL"	"01003"	"Cesarean"	"2"	1988
	"Baldwin County, AL"	"01003"	"Not Stated"	"9"	42
	"Calhoun County, AL"	"01015"	"Vaginal"	"1"	2692
	"Calhoun County, AL"	"01015"	"Cesarean"	"2"	1227
	"Etowah County, AL"	"01055"	"Vaginal"	"1"	2375
	"Etowah County, AL"	"01055"	"Cesarean"	"2"	975
	"Etowah County, AL"	"01055"	"Not Stated"	"9"	27
	"Houston County, AL"	"01069"	"Vaginal"	"1"	1187
	"Houston County, AL"	"01069"	"Cesarean"	"2"	795
	"Jefferson County, AL"	"01073"	"Vaginal"	"1"	17806
	"Jefferson County, AL"	"01073"	"Cesarean"	"2"	8576
	"Jefferson County, AL"	"01073"	"Not Stated"	"9"	35
	"Lee County, AL"	"01081"	"Vaginal"	"1"	4199
	"Lee County, AL"	"01081"	"Cesarean"	"2"	1680
	"Lee County, AL"	"01081"	"Not Stated"	"9"	10
	"Madison County, AL"	"01089"	"Vaginal"	"1"	8265
	"Madison County, AL"	"01089"	"Cesarean"	"2"	4036
	"Mobile County, AL"	"01097"	"Vaginal"	"1"	10535
	"Mobile County, AL"	"01097"	"Cesarean"	"2"	5943
	"Mobile County, AL"	"01097"	"Not Stated"	"9"	89
	"Montgomery County, AL"	"01101"	"Vaginal"	"1"	6135
	"Montgomery County, AL"	"01101"	"Cesarean"	"2"	3112
	"Montgomery County, AL"	"01101"	"Not Stated"	"9"	82
	"Morgan County, AL"	"01103"	"Vaginal"	"1"	2981
	"Morgan County, AL"	"01103"	"Cesarean"	"2"	1388
	"Shelby County, AL"	"01117"	"Vaginal"	"1"	5084
	"Shelby County, AL"	"01117"	"Cesarean"	"2"	2599
	"Shelby County, AL"	"01117"	"Not Stated"	"9"	10
	"Tuscaloosa County, AL"	"01125"	"Vaginal"	"1"	5092
	"Tuscaloosa County, AL"	"01125"	"Cesarean"	"2"	2431
	"Unidentified Counties, AL"	"01999"	"Vaginal"	"1"	46937
	"Unidentified Counties, AL"	"01999"	"Cesarean"	"2"	24228
	"Unidentified Counties, AL"	"01999"	"Not Stated"	"9"	235
	"Anchorage Borough, AK"	"02020"	"Vaginal"	"1"	10372
	"Anchorage Borough, AK"	"02020"	"Cesarean"	"2"	3584
	"Anchorage Borough, AK"	"02020"	"Not Stated"	"9"	69
	"Unidentified Counties, AK"	"02999"	"Vaginal"	"1"	15631
	"Unidentified Counties, AK"	"02999"	"Cesarean"	"2"	4033
	"Unidentified Counties, AK"	"02999"	"Not Stated"	"9"	77
	"Cochise County, AZ"	"04003"	"Vaginal"	"1"	3870
	"Cochise County, AZ"	"04003"	"Cesarean"	"2"	1334
	"Cochise County, AZ"	"04003"	"Not Stated"	"9"	42
	"Coconino County, AZ"	"04005"	"Vaginal"	"1"	4114
	"Coconino County, AZ"	"04005"	"Cesarean"	"2"	894
	"Coconino County, AZ"	"04005"	"Not Stated"	"9"	11
	"Maricopa County, AZ"	"04013"	"Vaginal"	"1"	127409
	"Maricopa County, AZ"	"04013"	"Cesarean"	"2"	45648
	"Maricopa County, AZ"	"04013"	"Not Stated"	"9"	420
	"Mohave County, AZ"	"04015"	"Vaginal"	"1"	3990
	"Mohave County, AZ"	"04015"	"Cesarean"	"2"	1513
	"Mohave County, AZ"	"04015"	"Not Stated"	"9"	48
	"Navajo County, AZ"	"04017"	"Vaginal"	"1"	1911
	"Navajo County, AZ"	"04017"	"Cesarean"	"2"	496
	"Pima County, AZ"	"04019"	"Vaginal"	"1"	28716
	"Pima County, AZ"	"04019"	"Cesarean"	"2"	8582
	"Pima County, AZ"	"04019"	"Not Stated"	"9"	115
	"Pinal County, AZ"	"04021"	"Vaginal"	"1"	10306
	"Pinal County, AZ"	"04021"	"Cesarean"	"2"	4080
	"Pinal County, AZ"	"04021"	"Not Stated"	"9"	38
	"Yavapai County, AZ"	"04025"	"Vaginal"	"1"	3969
	"Yavapai County, AZ"	"04025"	"Cesarean"	"2"	1601
	"Yavapai County, AZ"	"04025"	"Not Stated"	"9"	17
	"Yuma County, AZ"	"04027"	"Vaginal"	"1"	7154
	"Yuma County, AZ"	"04027"	"Cesarean"	"2"	2655
	"Yuma County, AZ"	"04027"	"Not Stated"	"9"	35
