"Notes"	"County"	"County Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Baldwin County, AL"	"01003"	"Vaginal"	"1"	2092
	"Baldwin County, AL"	"01003"	"Cesarean"	"2"	784
	"Baldwin County, AL"	"01003"	"Not Stated"	"9"	11
	"Calhoun County, AL"	"01015"	"Vaginal"	"1"	1121
	"Calhoun County, AL"	"01015"	"Cesarean"	"2"	497
	"Etowah County, AL"	"01055"	"Vaginal"	"1"	1165
	"Etowah County, AL"	"01055"	"Cesarean"	"2"	456
	"Etowah County, AL"	"01055"	"Not Stated"	"9"	10
	"Houston County, AL"	"01069"	"Vaginal"	"1"	488
	"Houston County, AL"	"01069"	"Cesarean"	"2"	291
	"Jefferson County, AL"	"01073"	"Vaginal"	"1"	7421
	"Jefferson County, AL"	"01073"	"Cesarean"	"2"	3579
	"Jefferson County, AL"	"01073"	"Not Stated"	"9"	14
	"Lee County, AL"	"01081"	"Vaginal"	"1"	1839
	"Lee County, AL"	"01081"	"Cesarean"	"2"	689
	"Madison County, AL"	"01089"	"Vaginal"	"1"	3457
	"Madison County, AL"	"01089"	"Cesarean"	"2"	1643
	"Mobile County, AL"	"01097"	"Vaginal"	"1"	4262
	"Mobile County, AL"	"01097"	"Cesarean"	"2"	2281
	"Mobile County, AL"	"01097"	"Not Stated"	"9"	40
	"Montgomery County, AL"	"01101"	"Vaginal"	"1"	2515
	"Montgomery County, AL"	"01101"	"Cesarean"	"2"	1293
	"Montgomery County, AL"	"01101"	"Not Stated"	"9"	28
	"Morgan County, AL"	"01103"	"Vaginal"	"1"	1154
	"Morgan County, AL"	"01103"	"Cesarean"	"2"	518
	"Shelby County, AL"	"01117"	"Vaginal"	"1"	2149
	"Shelby County, AL"	"01117"	"Cesarean"	"2"	1044
	"Tuscaloosa County, AL"	"01125"	"Vaginal"	"1"	2223
	"Tuscaloosa County, AL"	"01125"	"Cesarean"	"2"	963
	"Unidentified Counties, AL"	"01999"	"Vaginal"	"1"	19440
	"Unidentified Counties, AL"	"01999"	"Cesarean"	"2"	9390
	"Unidentified Counties, AL"	"01999"	"Not Stated"	"9"	88
	"Anchorage Borough, AK"	"02020"	"Vaginal"	"1"	4426
	"Anchorage Borough, AK"	"02020"	"Cesarean"	"2"	1533
	"Anchorage Borough, AK"	"02020"	"Not Stated"	"9"	35
	"Unidentified Counties, AK"	"02999"	"Vaginal"	"1"	5922
	"Unidentified Counties, AK"	"02999"	"Cesarean"	"2"	1472
	"Unidentified Counties, AK"	"02999"	"Not Stated"	"9"	28
	"Cochise County, AZ"	"04003"	"Vaginal"	"1"	1437
	"Cochise County, AZ"	"04003"	"Cesarean"	"2"	470
	"Cochise County, AZ"	"04003"	"Not Stated"	"9"	10
	"Coconino County, AZ"	"04005"	"Vaginal"	"1"	1727
	"Coconino County, AZ"	"04005"	"Cesarean"	"2"	329
	"Maricopa County, AZ"	"04013"	"Vaginal"	"1"	48101
	"Maricopa County, AZ"	"04013"	"Cesarean"	"2"	16724
	"Maricopa County, AZ"	"04013"	"Not Stated"	"9"	130
	"Mohave County, AZ"	"04015"	"Vaginal"	"1"	1578
	"Mohave County, AZ"	"04015"	"Cesarean"	"2"	529
	"Mohave County, AZ"	"04015"	"Not Stated"	"9"	12
	"Navajo County, AZ"	"04017"	"Vaginal"	"1"	598
	"Navajo County, AZ"	"04017"	"Cesarean"	"2"	141
	"Pima County, AZ"	"04019"	"Vaginal"	"1"	11707
	"Pima County, AZ"	"04019"	"Cesarean"	"2"	3072
	"Pima County, AZ"	"04019"	"Not Stated"	"9"	40
	"Pinal County, AZ"	"04021"	"Vaginal"	"1"	3260
	"Pinal County, AZ"	"04021"	"Cesarean"	"2"	1223
	"Yavapai County, AZ"	"04025"	"Vaginal"	"1"	1614
	"Yavapai County, AZ"	"04025"	"Cesarean"	"2"	536
	"Yuma County, AZ"	"04027"	"Vaginal"	"1"	2663
	"Yuma County, AZ"	"04027"	"Cesarean"	"2"	845
	"Yuma County, AZ"	"04027"	"Not Stated"	"9"	11
	"Unidentified Counties, AZ"	"04999"	"Vaginal"	"1"	3246
	"Unidentified Counties, AZ"	"04999"	"Cesarean"	"2"	772
	"Unidentified Counties, AZ"	"04999"	"Not Stated"	"9"	11
	"Benton County, AR"	"05007"	"Vaginal"	"1"	2870
	"Benton County, AR"	"05007"	"Cesarean"	"2"	1147
	"Benton County, AR"	"05007"	"Not Stated"	"9"	12
	"Faulkner County, AR"	"05045"	"Vaginal"	"1"	763
	"Faulkner County, AR"	"05045"	"Cesarean"	"2"	342
	"Pulaski County, AR"	"05119"	"Vaginal"	"1"	5384
	"Pulaski County, AR"	"05119"	"Cesarean"	"2"	1826
	"Pulaski County, AR"	"05119"	"Not Stated"	"9"	17
	"Saline County, AR"	"05125"	"Vaginal"	"1"	681
	"Saline County, AR"	"05125"	"Cesarean"	"2"	148
	"Sebastian County, AR"	"05131"	"Vaginal"	"1"	1230
	"Sebastian County, AR"	"05131"	"Cesarean"	"2"	750
	"Washington County, AR"	"05143"	"Vaginal"	"1"	2687
	"Washington County, AR"	"05143"	"Cesarean"	"2"	1051
	"Washington County, AR"	"05143"	"Not Stated"	"9"	14
	"Unidentified Counties, AR"	"05999"	"Vaginal"	"1"	18738
	"Unidentified Counties, AR"	"05999"	"Cesarean"	"2"	8597
	"Unidentified Counties, AR"	"05999"	"Not Stated"	"9"	65
	"Alameda County, CA"	"06001"	"Vaginal"	"1"	21661
	"Alameda County, CA"	"06001"	"Cesarean"	"2"	7747
	"Butte County, CA"	"06007"	"Vaginal"	"1"	2322
