"Notes"	"County"	"County Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Baldwin County, AL"	"01003"	"Vaginal"	"1"	1273
	"Baldwin County, AL"	"01003"	"Cesarean"	"2"	565
	"Baldwin County, AL"	"01003"	"Not Stated"	"9"	Suppressed
	"Calhoun County, AL"	"01015"	"Vaginal"	"1"	759
	"Calhoun County, AL"	"01015"	"Cesarean"	"2"	347
	"Calhoun County, AL"	"01015"	"Not Stated"	"9"	Suppressed
	"Etowah County, AL"	"01055"	"Vaginal"	"1"	658
	"Etowah County, AL"	"01055"	"Cesarean"	"2"	260
	"Etowah County, AL"	"01055"	"Not Stated"	"9"	Suppressed
	"Houston County, AL"	"01069"	"Vaginal"	"1"	607
	"Houston County, AL"	"01069"	"Cesarean"	"2"	392
	"Houston County, AL"	"01069"	"Not Stated"	"9"	Suppressed
	"Jefferson County, AL"	"01073"	"Vaginal"	"1"	4695
	"Jefferson County, AL"	"01073"	"Cesarean"	"2"	2048
	"Jefferson County, AL"	"01073"	"Not Stated"	"9"	Suppressed
	"Lee County, AL"	"01081"	"Vaginal"	"1"	1098
	"Lee County, AL"	"01081"	"Cesarean"	"2"	460
	"Lee County, AL"	"01081"	"Not Stated"	"9"	Suppressed
	"Madison County, AL"	"01089"	"Vaginal"	"1"	2061
	"Madison County, AL"	"01089"	"Cesarean"	"2"	955
	"Madison County, AL"	"01089"	"Not Stated"	"9"	Suppressed
	"Mobile County, AL"	"01097"	"Vaginal"	"1"	2623
	"Mobile County, AL"	"01097"	"Cesarean"	"2"	1522
	"Mobile County, AL"	"01097"	"Not Stated"	"9"	Suppressed
	"Montgomery County, AL"	"01101"	"Vaginal"	"1"	1548
	"Montgomery County, AL"	"01101"	"Cesarean"	"2"	757
	"Montgomery County, AL"	"01101"	"Not Stated"	"9"	Suppressed
	"Morgan County, AL"	"01103"	"Vaginal"	"1"	784
	"Morgan County, AL"	"01103"	"Cesarean"	"2"	342
	"Morgan County, AL"	"01103"	"Not Stated"	"9"	Suppressed
	"Shelby County, AL"	"01117"	"Vaginal"	"1"	1316
	"Shelby County, AL"	"01117"	"Cesarean"	"2"	631
	"Shelby County, AL"	"01117"	"Not Stated"	"9"	Suppressed
	"Tuscaloosa County, AL"	"01125"	"Vaginal"	"1"	1279
	"Tuscaloosa County, AL"	"01125"	"Cesarean"	"2"	633
	"Tuscaloosa County, AL"	"01125"	"Not Stated"	"9"	Suppressed
	"Unidentified Counties, AL"	"01999"	"Vaginal"	"1"	11809
	"Unidentified Counties, AL"	"01999"	"Cesarean"	"2"	5933
	"Unidentified Counties, AL"	"01999"	"Not Stated"	"9"	Suppressed
	"Anchorage Borough, AK"	"02020"	"Vaginal"	"1"	2544
	"Anchorage Borough, AK"	"02020"	"Cesarean"	"2"	848
	"Anchorage Borough, AK"	"02020"	"Not Stated"	"9"	Suppressed
	"Unidentified Counties, AK"	"02999"	"Vaginal"	"1"	3860
	"Unidentified Counties, AK"	"02999"	"Cesarean"	"2"	1009
	"Unidentified Counties, AK"	"02999"	"Not Stated"	"9"	Suppressed
	"Cochise County, AZ"	"04003"	"Vaginal"	"1"	948
	"Cochise County, AZ"	"04003"	"Cesarean"	"2"	313
	"Cochise County, AZ"	"04003"	"Not Stated"	"9"	Suppressed
	"Coconino County, AZ"	"04005"	"Vaginal"	"1"	965
	"Coconino County, AZ"	"04005"	"Cesarean"	"2"	214
	"Coconino County, AZ"	"04005"	"Not Stated"	"9"	Suppressed
	"Maricopa County, AZ"	"04013"	"Vaginal"	"1"	32061
	"Maricopa County, AZ"	"04013"	"Cesarean"	"2"	11457
	"Maricopa County, AZ"	"04013"	"Not Stated"	"9"	Suppressed
	"Mohave County, AZ"	"04015"	"Vaginal"	"1"	1028
	"Mohave County, AZ"	"04015"	"Cesarean"	"2"	397
	"Mohave County, AZ"	"04015"	"Not Stated"	"9"	Suppressed
	"Navajo County, AZ"	"04017"	"Vaginal"	"1"	947
	"Navajo County, AZ"	"04017"	"Cesarean"	"2"	245
	"Navajo County, AZ"	"04017"	"Not Stated"	"9"	Suppressed
	"Pima County, AZ"	"04019"	"Vaginal"	"1"	7122
	"Pima County, AZ"	"04019"	"Cesarean"	"2"	2144
	"Pima County, AZ"	"04019"	"Not Stated"	"9"	Suppressed
	"Pinal County, AZ"	"04021"	"Vaginal"	"1"	2559
	"Pinal County, AZ"	"04021"	"Cesarean"	"2"	1029
	"Pinal County, AZ"	"04021"	"Not Stated"	"9"	Suppressed
	"Yavapai County, AZ"	"04025"	"Vaginal"	"1"	1019
	"Yavapai County, AZ"	"04025"	"Cesarean"	"2"	385
	"Yavapai County, AZ"	"04025"	"Not Stated"	"9"	Suppressed
	"Yuma County, AZ"	"04027"	"Vaginal"	"1"	1720
	"Yuma County, AZ"	"04027"	"Cesarean"	"2"	680
	"Yuma County, AZ"	"04027"	"Not Stated"	"9"	Suppressed
	"Unidentified Counties, AZ"	"04999"	"Vaginal"	"1"	2027
	"Unidentified Counties, AZ"	"04999"	"Cesarean"	"2"	538
	"Unidentified Counties, AZ"	"04999"	"Not Stated"	"9"	Suppressed
	"Benton County, AR"	"05007"	"Vaginal"	"1"	1914
	"Benton County, AR"	"05007"	"Cesarean"	"2"	865
	"Benton County, AR"	"05007"	"Not Stated"	"9"	Suppressed
	"Faulkner County, AR"	"05045"	"Vaginal"	"1"	756
	"Faulkner County, AR"	"05045"	"Cesarean"	"2"	411
	"Faulkner County, AR"	"05045"	"Not Stated"	"9"	Suppressed
	"Pulaski County, AR"	"05119"	"Vaginal"	"1"	3196
	"Pulaski County, AR"	"05119"	"Cesarean"	"2"	881
	"Pulaski County, AR"	"05119"	"Not Stated"	"9"	Suppressed
	"Saline County, AR"	"05125"	"Vaginal"	"1"	745
	"Saline County, AR"	"05125"	"Cesarean"	"2"	199
	"Saline County, AR"	"05125"	"Not Stated"	"9"	Suppressed
	"Sebastian County, AR"	"05131"	"Vaginal"	"1"	856
	"Sebastian County, AR"	"05131"	"Cesarean"	"2"	523
	"Sebastian County, AR"	"05131"	"Not Stated"	"9"	Suppressed
	"Washington County, AR"	"05143"	"Vaginal"	"1"	1663
	"Washington County, AR"	"05143"	"Cesarean"	"2"	709
	"Washington County, AR"	"05143"	"Not Stated"	"9"	Suppressed
	"Unidentified Counties, AR"	"05999"	"Vaginal"	"1"	11035
	"Unidentified Counties, AR"	"05999"	"Cesarean"	"2"	5573
	"Unidentified Counties, AR"	"05999"	"Not Stated"	"9"	Suppressed
	"Alameda County, CA"	"06001"	"Vaginal"	"1"	12260
	"Alameda County, CA"	"06001"	"Cesarean"	"2"	4340
	"Alameda County, CA"	"06001"	"Not Stated"	"9"	Suppressed
	"Butte County, CA"	"06007"	"Vaginal"	"1"	1445
	"Butte County, CA"	"06007"	"Cesarean"	"2"	611
	"Butte County, CA"	"06007"	"Not Stated"	"9"	Suppressed
	"Contra Costa County, CA"	"06013"	"Vaginal"	"1"	7884
	"Contra Costa County, CA"	"06013"	"Cesarean"	"2"	2810
	"Contra Costa County, CA"	"06013"	"Not Stated"	"9"	Suppressed
	"El Dorado County, CA"	"06017"	"Vaginal"	"1"	993
	"El Dorado County, CA"	"06017"	"Cesarean"	"2"	325
	"El Dorado County, CA"	"06017"	"Not Stated"	"9"	Suppressed
	"Fresno County, CA"	"06019"	"Vaginal"	"1"	8993
	"Fresno County, CA"	"06019"	"Cesarean"	"2"	4184
	"Fresno County, CA"	"06019"	"Not Stated"	"9"	Suppressed
	"Humboldt County, CA"	"06023"	"Vaginal"	"1"	861
	"Humboldt County, CA"	"06023"	"Cesarean"	"2"	308
	"Humboldt County, CA"	"06023"	"Not Stated"	"9"	Suppressed
	"Imperial County, CA"	"06025"	"Vaginal"	"1"	1675
	"Imperial County, CA"	"06025"	"Cesarean"	"2"	984
	"Imperial County, CA"	"06025"	"Not Stated"	"9"	Suppressed
	"Kern County, CA"	"06029"	"Vaginal"	"1"	8463
	"Kern County, CA"	"06029"	"Cesarean"	"2"	2984
	"Kern County, CA"	"06029"	"Not Stated"	"9"	Suppressed
	"Kings County, CA"	"06031"	"Vaginal"	"1"	1254
	"Kings County, CA"	"06031"	"Cesarean"	"2"	699
	"Kings County, CA"	"06031"	"Not Stated"	"9"	Suppressed
	"Los Angeles County, CA"	"06037"	"Vaginal"	"1"	71028
	"Los Angeles County, CA"	"06037"	"Cesarean"	"2"	35253
	"Los Angeles County, CA"	"06037"	"Not Stated"	"9"	Suppressed
	"Madera County, CA"	"06039"	"Vaginal"	"1"	1335
	"Madera County, CA"	"06039"	"Cesarean"	"2"	630
	"Madera County, CA"	"06039"	"Not Stated"	"9"	Suppressed
	"Marin County, CA"	"06041"	"Vaginal"	"1"	1542
	"Marin County, CA"	"06041"	"Cesarean"	"2"	443
	"Marin County, CA"	"06041"	"Not Stated"	"9"	Suppressed
	"Merced County, CA"	"06047"	"Vaginal"	"1"	2420
	"Merced County, CA"	"06047"	"Cesarean"	"2"	1186
	"Merced County, CA"	"06047"	"Not Stated"	"9"	Suppressed
	"Monterey County, CA"	"06053"	"Vaginal"	"1"	4074
	"Monterey County, CA"	"06053"	"Cesarean"	"2"	1457
	"Monterey County, CA"	"06053"	"Not Stated"	"9"	Suppressed
	"Napa County, CA"	"06055"	"Vaginal"	"1"	882
	"Napa County, CA"	"06055"	"Cesarean"	"2"	338
	"Napa County, CA"	"06055"	"Not Stated"	"9"	Suppressed
	"Orange County, CA"	"06059"	"Vaginal"	"1"	22234
	"Orange County, CA"	"06059"	"Cesarean"	"2"	10558
	"Orange County, CA"	"06059"	"Not Stated"	"9"	Suppressed
	"Placer County, CA"	"06061"	"Vaginal"	"1"	2445
	"Placer County, CA"	"06061"	"Cesarean"	"2"	750
	"Placer County, CA"	"06061"	"Not Stated"	"9"	Suppressed
	"Riverside County, CA"	"06065"	"Vaginal"	"1"	18230
	"Riverside County, CA"	"06065"	"Cesarean"	"2"	8134
	"Riverside County, CA"	"06065"	"Not Stated"	"9"	Suppressed
	"Sacramento County, CA"	"06067"	"Vaginal"	"1"	12389
	"Sacramento County, CA"	"06067"	"Cesarean"	"2"	4308
	"Sacramento County, CA"	"06067"	"Not Stated"	"9"	Suppressed
	"San Bernardino County, CA"	"06071"	"Vaginal"	"1"	18210
	"San Bernardino County, CA"	"06071"	"Cesarean"	"2"	8079
	"San Bernardino County, CA"	"06071"	"Not Stated"	"9"	Suppressed
	"San Diego County, CA"	"06073"	"Vaginal"	"1"	26331
	"San Diego County, CA"	"06073"	"Cesarean"	"2"	11555
	"San Diego County, CA"	"06073"	"Not Stated"	"9"	Suppressed
	"San Francisco County, CA"	"06075"	"Vaginal"	"1"	5923
	"San Francisco County, CA"	"06075"	"Cesarean"	"2"	1811
	"San Francisco County, CA"	"06075"	"Not Stated"	"9"	Suppressed
	"San Joaquin County, CA"	"06077"	"Vaginal"	"1"	5970
	"San Joaquin County, CA"	"06077"	"Cesarean"	"2"	2480
	"San Joaquin County, CA"	"06077"	"Not Stated"	"9"	Suppressed
	"San Luis Obispo County, CA"	"06079"	"Vaginal"	"1"	1558
	"San Luis Obispo County, CA"	"06079"	"Cesarean"	"2"	641
	"San Luis Obispo County, CA"	"06079"	"Not Stated"	"9"	Suppressed
	"San Mateo County, CA"	"06081"	"Vaginal"	"1"	5756
	"San Mateo County, CA"	"06081"	"Cesarean"	"2"	2048
	"San Mateo County, CA"	"06081"	"Not Stated"	"9"	Suppressed
	"Santa Barbara County, CA"	"06083"	"Vaginal"	"1"	3320
	"Santa Barbara County, CA"	"06083"	"Cesarean"	"2"	1533
	"Santa Barbara County, CA"	"06083"	"Not Stated"	"9"	Suppressed
	"Santa Clara County, CA"	"06085"	"Vaginal"	"1"	14949
	"Santa Clara County, CA"	"06085"	"Cesarean"	"2"	5726
	"Santa Clara County, CA"	"06085"	"Not Stated"	"9"	Suppressed
	"Santa Cruz County, CA"	"06087"	"Vaginal"	"1"	1666
	"Santa Cruz County, CA"	"06087"	"Cesarean"	"2"	656
	"Santa Cruz County, CA"	"06087"	"Not Stated"	"9"	Suppressed
	"Shasta County, CA"	"06089"	"Vaginal"	"1"	1192
	"Shasta County, CA"	"06089"	"Cesarean"	"2"	496
	"Shasta County, CA"	"06089"	"Not Stated"	"9"	Suppressed
	"Solano County, CA"	"06095"	"Vaginal"	"1"	3245
	"Solano County, CA"	"06095"	"Cesarean"	"2"	1046
	"Solano County, CA"	"06095"	"Not Stated"	"9"	Suppressed
	"Sonoma County, CA"	"06097"	"Vaginal"	"1"	3230
	"Sonoma County, CA"	"06097"	"Cesarean"	"2"	1046
	"Sonoma County, CA"	"06097"	"Not Stated"	"9"	Suppressed
	"Stanislaus County, CA"	"06099"	"Vaginal"	"1"	4425
	"Stanislaus County, CA"	"06099"	"Cesarean"	"2"	1933
	"Stanislaus County, CA"	"06099"	"Not Stated"	"9"	Suppressed
	"Tulare County, CA"	"06107"	"Vaginal"	"1"	4212
	"Tulare County, CA"	"06107"	"Cesarean"	"2"	1948
	"Tulare County, CA"	"06107"	"Not Stated"	"9"	Suppressed
	"Ventura County, CA"	"06111"	"Vaginal"	"1"	6026
	"Ventura County, CA"	"06111"	"Cesarean"	"2"	2661
	"Ventura County, CA"	"06111"	"Not Stated"	"9"	Suppressed
	"Yolo County, CA"	"06113"	"Vaginal"	"1"	1571
	"Yolo County, CA"	"06113"	"Cesarean"	"2"	470
	"Yolo County, CA"	"06113"	"Not Stated"	"9"	Suppressed
	"Unidentified Counties, CA"	"06999"	"Vaginal"	"1"	5883
	"Unidentified Counties, CA"	"06999"	"Cesarean"	"2"	2447
	"Unidentified Counties, CA"	"06999"	"Not Stated"	"9"	Suppressed
	"Adams County, CO"	"08001"	"Vaginal"	"1"	4251
	"Adams County, CO"	"08001"	"Cesarean"	"2"	1148
	"Adams County, CO"	"08001"	"Not Stated"	"9"	Suppressed
	"Arapahoe County, CO"	"08005"	"Vaginal"	"1"	4713
	"Arapahoe County, CO"	"08005"	"Cesarean"	"2"	1647
	"Arapahoe County, CO"	"08005"	"Not Stated"	"9"	Suppressed
	"Boulder County, CO"	"08013"	"Vaginal"	"1"	1736
	"Boulder County, CO"	"08013"	"Cesarean"	"2"	562
	"Boulder County, CO"	"08013"	"Not Stated"	"9"	Suppressed
	"Denver County, CO"	"08031"	"Vaginal"	"1"	6041
	"Denver County, CO"	"08031"	"Cesarean"	"2"	1969
	"Denver County, CO"	"08031"	"Not Stated"	"9"	Suppressed
	"Douglas County, CO"	"08035"	"Vaginal"	"1"	2019
	"Douglas County, CO"	"08035"	"Cesarean"	"2"	775
	"Douglas County, CO"	"08035"	"Not Stated"	"9"	Suppressed
	"El Paso County, CO"	"08041"	"Vaginal"	"1"	5896
	"El Paso County, CO"	"08041"	"Cesarean"	"2"	1480
	"El Paso County, CO"	"08041"	"Not Stated"	"9"	Suppressed
	"Jefferson County, CO"	"08059"	"Vaginal"	"1"	3736
	"Jefferson County, CO"	"08059"	"Cesarean"	"2"	1183
	"Jefferson County, CO"	"08059"	"Not Stated"	"9"	Suppressed
	"Larimer County, CO"	"08069"	"Vaginal"	"1"	2068
	"Larimer County, CO"	"08069"	"Cesarean"	"2"	851
	"Larimer County, CO"	"08069"	"Not Stated"	"9"	Suppressed
	"Mesa County, CO"	"08077"	"Vaginal"	"1"	1108
	"Mesa County, CO"	"08077"	"Cesarean"	"2"	262
	"Mesa County, CO"	"08077"	"Not Stated"	"9"	Suppressed
	"Pueblo County, CO"	"08101"	"Vaginal"	"1"	1183
	"Pueblo County, CO"	"08101"	"Cesarean"	"2"	280
	"Pueblo County, CO"	"08101"	"Not Stated"	"9"	Suppressed
	"Weld County, CO"	"08123"	"Vaginal"	"1"	2577
	"Weld County, CO"	"08123"	"Cesarean"	"2"	927
	"Weld County, CO"	"08123"	"Not Stated"	"9"	Suppressed
	"Unidentified Counties, CO"	"08999"	"Vaginal"	"1"	5130
	"Unidentified Counties, CO"	"08999"	"Cesarean"	"2"	1864
	"Unidentified Counties, CO"	"08999"	"Not Stated"	"9"	Suppressed
	"Fairfield County, CT"	"09001"	"Vaginal"	"1"	5355
	"Fairfield County, CT"	"09001"	"Cesarean"	"2"	2790
	"Fairfield County, CT"	"09001"	"Not Stated"	"9"	41
	"Hartford County, CT"	"09003"	"Vaginal"	"1"	5252
	"Hartford County, CT"	"09003"	"Cesarean"	"2"	2306
	"Hartford County, CT"	"09003"	"Not Stated"	"9"	34
	"Litchfield County, CT"	"09005"	"Vaginal"	"1"	773
	"Litchfield County, CT"	"09005"	"Cesarean"	"2"	383
	"Litchfield County, CT"	"09005"	"Not Stated"	"9"	Suppressed
	"Middlesex County, CT"	"09007"	"Vaginal"	"1"	736
	"Middlesex County, CT"	"09007"	"Cesarean"	"2"	343
	"Middlesex County, CT"	"09007"	"Not Stated"	"9"	Suppressed
	"New Haven County, CT"	"09009"	"Vaginal"	"1"	4933
	"New Haven County, CT"	"09009"	"Cesarean"	"2"	2086
	"New Haven County, CT"	"09009"	"Not Stated"	"9"	17
	"New London County, CT"	"09011"	"Vaginal"	"1"	1473
	"New London County, CT"	"09011"	"Cesarean"	"2"	672
	"New London County, CT"	"09011"	"Not Stated"	"9"	35
	"Tolland County, CT"	"09013"	"Vaginal"	"1"	646
	"Tolland County, CT"	"09013"	"Cesarean"	"2"	259
	"Tolland County, CT"	"09013"	"Not Stated"	"9"	Suppressed
	"Windham County, CT"	"09015"	"Vaginal"	"1"	592
	"Windham County, CT"	"09015"	"Cesarean"	"2"	256
	"Windham County, CT"	"09015"	"Not Stated"	"9"	Suppressed
	"Kent County, DE"	"10001"	"Vaginal"	"1"	1179
	"Kent County, DE"	"10001"	"Cesarean"	"2"	469
	"Kent County, DE"	"10001"	"Not Stated"	"9"	Suppressed
	"New Castle County, DE"	"10003"	"Vaginal"	"1"	3531
	"New Castle County, DE"	"10003"	"Cesarean"	"2"	1500
	"New Castle County, DE"	"10003"	"Not Stated"	"9"	Suppressed
