"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	Births
	"Maricopa County, AZ"	"04013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	15
	"Maricopa County, AZ"	"04013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	25
	"Maricopa County, AZ"	"04013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	16
	"Maricopa County, AZ"	"04013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	32
	"Maricopa County, AZ"	"04013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	18
	"Maricopa County, AZ"	"04013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	19
	"Maricopa County, AZ"	"04013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	13
	"Alameda County, CA"	"06001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	11
	"Alameda County, CA"	"06001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	35
	"Alameda County, CA"	"06001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	20
	"Alameda County, CA"	"06001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	95
	"Alameda County, CA"	"06001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	34
	"Alameda County, CA"	"06001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	79
	"Alameda County, CA"	"06001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	29
	"Alameda County, CA"	"06001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"40-44 years"	"40-44"	"2nd month"	"02"	15
	"Contra Costa County, CA"	"06013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	11
	"Contra Costa County, CA"	"06013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	36
	"Contra Costa County, CA"	"06013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	19
	"Contra Costa County, CA"	"06013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	49
	"Contra Costa County, CA"	"06013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	12
	"Contra Costa County, CA"	"06013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	25
	"Contra Costa County, CA"	"06013"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	11
	"Fresno County, CA"	"06019"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	14
	"Fresno County, CA"	"06019"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	10
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	19
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"3rd month"	"03"	11
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"1st month"	"01"	17
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	61
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	32
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"1st month"	"01"	23
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	109
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	41
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"Not stated/Not on certificate"	"99"	13
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"1st month"	"01"	17
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	61
