"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Pregnancy-associated Hypertension"	"Pregnancy-associated Hypertension Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	20
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	16
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	15
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	11
	"Calhoun County, AL"	"01015"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	13
	"Calhoun County, AL"	"01015"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	16
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	26
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	78
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	16
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	76
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	31
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	72
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	27
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	28
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	10
	"Madison County, AL"	"01089"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	13
	"Madison County, AL"	"01089"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	33
	"Madison County, AL"	"01089"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	12
	"Madison County, AL"	"01089"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	43
	"Madison County, AL"	"01089"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	13
	"Madison County, AL"	"01089"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	21
	"Madison County, AL"	"01089"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	12
	"Madison County, AL"	"01089"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	11
	"Mobile County, AL"	"01097"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	13
	"Mobile County, AL"	"01097"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	12
	"Montgomery County, AL"	"01101"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	10
	"Montgomery County, AL"	"01101"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	27
	"Montgomery County, AL"	"01101"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	11
	"Montgomery County, AL"	"01101"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	37
	"Montgomery County, AL"	"01101"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	15
	"Montgomery County, AL"	"01101"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	11
	"Morgan County, AL"	"01103"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	14
	"Morgan County, AL"	"01103"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	31
	"Morgan County, AL"	"01103"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	19
	"Morgan County, AL"	"01103"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	11
	"Morgan County, AL"	"01103"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	14
	"Shelby County, AL"	"01117"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	13
	"Shelby County, AL"	"01117"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	22
	"Shelby County, AL"	"01117"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	29
	"Shelby County, AL"	"01117"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	29
	"Shelby County, AL"	"01117"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	13
	"Tuscaloosa County, AL"	"01125"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	12
	"Tuscaloosa County, AL"	"01125"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	13
	"Tuscaloosa County, AL"	"01125"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	10
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	54
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	10
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	155
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	50
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	141
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	58
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	126
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	55
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	61
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	36
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	16
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	33
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	36
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	15
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	24
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	13
	"Unidentified Counties, AK"	"02999"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	32
	"Unidentified Counties, AK"	"02999"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	36
	"Unidentified Counties, AK"	"02999"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	22
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	45
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	16
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	100
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	33
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	106
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	38
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	73
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	11
